Loading (p.u.),Name,Bus1,Bus2,
1.0121467588581698,Line.padswitch(r:p1udt10258-p1udt16447)p1u_261708,p1udt16447.1.2.3,p1udt10258-p1udt16447xx.1.2.3,
1.0121467609736607,Line.l(r:p1udt10258-p1udt16447),p1udt10258-p1udt16447xx.1.2.3,p1udt10258-p1udt16447x.1.2.3,
1.0121678077525709,Line.padswitch(r:p1udt10258-p1udt16447)p1u_261709,p1udt10258-p1udt16447x.1.2.3,p1udt10258.1.2.3,
1.0121678098670555,Line.padswitch(r:p1udt10258-p1udt2582)p1u_261706,p1udt10258.1.2.3,p1udt10258-p1udt2582x.1.2.3,
1.0121678119754656,Line.l(r:p1udt10258-p1udt2582),p1udt10258-p1udt2582x.1.2.3,p1udt10258-p1udt2582xx.1.2.3,
1.012176371165683,Line.padswitch(r:p1udt10258-p1udt2582)p1u_261707,p1udt10258-p1udt2582xx.1.2.3,p1udt2582.1.2.3,
1.0121763753796054,Line.l(r:p1udt18730-p1udt2582),p1udt18730-p1udt2582xx.1.2.3,p1udt18730-p1udt2582x.1.2.3,
1.0121857612044636,Line.padswitch(r:p1udt18730-p1udt2582)p1u_261705,p1udt18730-p1udt2582x.1.2.3,p1udt18730.1.2.3,
1.0121857633086209,Line.padswitch(r:p1udt11978-p1udt18730)p1u_261702,p1udt18730.1.2.3,p1udt11978-p1udt18730xx.1.2.3,
1.0121857654138844,Line.l(r:p1udt11978-p1udt18730),p1udt11978-p1udt18730xx.1.2.3,p1udt11978-p1udt18730x.1.2.3,
1.0121998286809535,Line.l(r:p1udt11978-p1udt4694),p1udt11978-p1udt4694x.1.2.3,p1udt11978-p1udt4694xx.1.2.3,
1.0122185462148598,Line.padswitch(r:p1udt11978-p1udt4694)p1u_261701,p1udt11978-p1udt4694xx.1.2.3,p1udt4694.1.2.3,
1.0122185483098765,Line.padswitch(r:p1udt4694-p1udt7955)p1u_261698,p1udt4694.1.2.3,p1udt4694-p1udt7955x.1.2.3,
1.0122185504042605,Line.l(r:p1udt4694-p1udt7955),p1udt4694-p1udt7955x.1.2.3,p1udt4694-p1udt7955xx.1.2.3,
1.0122488571332897,Line.padswitch(r:p1udt4694-p1udt7955)p1u_261699,p1udt4694-p1udt7955xx.1.2.3,p1udt7955.1.2.3,
1.012248859220705,Line.padswitch(r:p1udt11301-p1udt7955)p1u_261696,p1udt7955.1.2.3,p1udt11301-p1udt7955xx.1.2.3,
1.0122488613074583,Line.l(r:p1udt11301-p1udt7955),p1udt11301-p1udt7955xx.1.2.3,p1udt11301-p1udt7955x.1.2.3,
1.0122722677365439,Line.padswitch(r:p1udt11301-p1udt7955)p1u_261697,p1udt11301-p1udt7955x.1.2.3,p1udt11301.1.2.3,
1.0122722698177693,Line.padswitch(r:p1udt11301-p1udt7113)p1u_261694,p1udt11301.1.2.3,p1udt11301-p1udt7113x.1.2.3,
1.012272271899158,Line.l(r:p1udt11301-p1udt7113),p1udt11301-p1udt7113x.1.2.3,p1udt11301-p1udt7113xx.1.2.3,
1.0122981265923112,Line.padswitch(r:p1udt11301-p1udt7113)p1u_261695,p1udt11301-p1udt7113xx.1.2.3,p1udt7113.1.2.3,
1.0122981286609762,Line.padswitch(r:p1udt7113-p1udt811)p1u_261692,p1udt7113.1.2.3,p1udt7113-p1udt811x.1.2.3,
1.0122981307305472,Line.l(r:p1udt7113-p1udt811),p1udt7113-p1udt811x.1.2.3,p1udt7113-p1udt811xx.1.2.3,
1.0127756454344927,Line.padswitch(r:p3udt22476-p3udt27683)p3u_178018,p3udt22476.1.2.3,p3udt22476-p3udt27683x.1.2.3,
1.0127756478543855,Line.l(r:p3udt22476-p3udt27683),p3udt22476-p3udt27683x.1.2.3,p3udt22476-p3udt27683xx.1.2.3,
1.0128021082355372,Line.padswitch(r:p3udt23934-p3udt3668)p3u_186133,p3udt23934.1.2.3,p3udt23934-p3udt3668x.1.2.3,
1.0128021107890472,Line.l(r:p3udt23934-p3udt3668),p3udt23934-p3udt3668x.1.2.3,p3udt23934-p3udt3668xx.1.2.3,
1.012805024521818,Line.l(r:p3udt27683-p3udt3822),p3udt27683-p3udt3822x.1.2.3,p3udt27683-p3udt3822xx.1.2.3,
1.012830557470099,Line.padswitch(r:p3udt27683-p3udt3822)p3u_178017,p3udt27683-p3udt3822xx.1.2.3,p3udt3822.1.2.3,
1.0128475747382637,Line.padswitch(r:p3udt2202-p3udt3668)p3u_186131,p3udt3668.1.2.3,p3udt2202-p3udt3668xx.1.2.3,
1.0128475772805012,Line.l(r:p3udt2202-p3udt3668),p3udt2202-p3udt3668xx.1.2.3,p3udt2202-p3udt3668x.1.2.3,
1.0128502110253328,Line.breaker(r:p2uhs0_69-p2uts0_69)p2u_45453,p2uhs0_69-p2uts0_69x.1.2.3,p2uhs0_69.1.2.3,
