OpenDSS Value (p.u.),Bus,
0.9459628907055945,p3ulv15217,
0.9459833004012848,p4udt11049lv,
0.9460515516373272,p1rdm2594,
0.946060963026395,p1rlv4757,
0.9460922425053215,p1rlv7525,
0.9461152575695049,p1udm46180,
0.9461190447004599,p1rlv11707,
0.9461401354196627,p3udm27929,
0.9461477298320746,p4udt7961lv,
0.9461538426817865,p1rdt1053lv,
0.9461719977343196,p1rlv168,
0.9461874499505886,p3udt1656lv,
0.94620026128697,p1rlv2464,
0.9462113326747537,p4udt269lv,
0.9462230156173821,p1rlv11985,
0.9462264408187957,p3ulv11350,
0.9462282252815274,p4ulv37155,
0.9462342226753878,p1rdt3606lv,
0.9462655414966261,p1rlv8305,
0.9462785067631555,p3ulv3411,
0.9462980569105334,p1rdt3604lv,
0.9463294116062955,p1rdt5017lv,
0.9463492221280788,p1rdm2593,
0.9463565030456144,p1rdt2623lv,
0.9463658445060866,p3ulv56324,
0.9463893598511405,p4udt7964lv,
0.9463949448581196,p1ulv10892,
0.9464152019054647,p1udm53444,
0.9464465822221312,p1ulv11496,
0.9464699829767471,p3ulv38498,
0.9464786470621925,p1udm48604,
0.9464882753193058,p1rdm4034,
0.9464984010295849,p1rlv10305,
0.9465003049110624,p4udt21353lv,
0.9465239515818169,sb2_p3uhs20_1247_node_2_10,
0.9465249348032524,p1rlv36,
0.9465335185547238,p1rdt2205lv,
0.9465336365215843,sb2_p3uhs20_1247_node_2_18,
0.9465433214806854,sb2_p3uhs20_1247_bus_2_1,
0.9465456379057036,p5udm15038,
0.946550314947941,p4udt14144lv,
0.9465530064591199,sb2_p3uhs20_1247_node_2_6,
0.9465626914568871,sb2_p3uhs20_1247_node_2_5,
0.9465723764739864,p3uhs20_69,
0.9465820615104171,p3uhs19_69-p3uhs20_69xx,
0.9466063781601516,p1rlv7245,
0.9466240679243018,p1rlv993,
0.9466299622203993,p3udt892lv,
0.9466441101933878,p3udt20333lv,
0.9466997086490038,p1rdt2621lv,
0.946732150536043,p3ulv68574,
0.946736047944142,p3udt891lv,
0.9467469552520782,p1rlv2595,
0.9467580212326235,p1rlv3520,
0.9467619532979599,p1rlv3519,
0.9467763420768985,p1rlv11709,
0.9468162636697947,p1rlv13808,
0.9468397925982712,p1rlv12922,
0.9468487194125281,p3ulv63925,
0.9468490822872323,p4udt10234lv,
0.9468841227984233,p1ulv23016,
0.9469171481195896,p1rlv4046,
0.9469445608367593,p3udt21468lv,
0.9469538043255663,p3udt7693lv,
0.9469613491193086,p3ulv55543,
0.9469671419936806,p4udt16353lv,
0.9469795807168866,p1rdt4236lv,
0.9469893826888256,p1ulv24845,
0.9470039993975123,p1rlv6087,
0.9470135465292001,p3ulv50181,
0.9470149291806759,p1rlv9497,
0.9470539997201589,p1udm19888,
0.9470586906502126,p4udt22270lv,
0.9470644967183213,p1rlv4053,
0.9470766777328464,p1rlv6084,
0.9471138885582191,p1rdt945lv,
0.9471198281058862,p1rlv13036,
0.9471228205085999,p3udt17340lv,
0.9471589457316352,p1ulv33764,
0.9471700364772919,p1rlv8438,
0.947181037688755,p1rlv9782,
0.9471900159887953,p1rdt7562lv,
0.9472227542558018,p4udt23121lv,
0.9472339419228897,p1rlv13810,
0.9472380642449926,p1rdm10380,
0.9472467877110652,p1rlv699,
0.9472518158926875,p4ulv12959,
0.9472683122818538,p1udm37162,
0.9472869751979099,p1ulv28043,
0.9473117213976594,p1rlv7527,
0.9474174557113835,p1udm30702,
0.9474633161635313,p4udm9848,
0.947471936250907,p1rlv9354,
0.9474778049270277,p4udt18878lv,
0.9474895092688054,p1rdm9548,
0.9474962986153965,p1ulv33117,
0.9475308773818146,p1ulv4606,
0.9475472450952055,p1udm25775,
0.947549572841568,p3udt16973lv,
0.9475729711592699,p1ulv23015,
0.9475761837517767,p1rdm4037,
0.947592251903289,p1rdt3562,
0.9475958387618376,p1rdm6244,
0.9476000918183999,p3ulv49422,
0.9476015410555947,p3udt8828lv,
0.9476036607462132,p1rdm10383,
0.9476094240463123,p1ulv64983,
0.9476243568685221,p3ulv73936,
0.9476258346921386,p1rlv10185,
0.9476388184405335,p3udt14607lv,
0.9476395029853013,p4ulv23275,
0.9476576758380958,p3udt28512lv,
0.9476675835079987,p1rlv8980,
0.9476711512301628,p1rdm13433,
0.9477085688411934,p3udt11954lv,
